Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Ten Lined June Beetle,,,"This animal has an exoskeleton.Its body can be black, red and brown.","This animal's natural habitat is forests, shrublands and and farmlands.",It has a nocturnal lifestyle.
Tennessee Walker Horse,,48.2802,"This animal has hair.Its body can be black, white, brown, blonde and grey.","This animal's natural habitat is farms, ranches and pastures.",
Tenrec,,11.26538,"This animal has hair.Its body can be black, white, brown, tan and grey.",,It has a nocturnal lifestyle.
Tent Caterpillar,They usually live in colonial nests and can be characterized as social. Their temperament can be characterized as social.Their aggression level is medium.,,This animal has an exoskeleton.Its body can be multi-colored.,This animal's natural habitat is woodlands.,It has a diurnal lifestyle.
Tentacled Snake,They usually live in groups and can be characterized as solitary.Their aggression level is low.,,"This animal has scales.Its body can be tan, brown and grey.",,It has a diurnal lifestyle.
Tenterfield Terrier,,,"This animal has hair.Its body can be tan, black and white.",,
Termite,,,"This animal has a shell.Its body can be black, red, white and brown.",This animal's natural habitat is forests and areas with high humidity.,
Terrier,,,"This animal has hair.Its body can be brindle, black, white, red, blue, brown and grey.",,
Terror Bird,,,,This animal's natural habitat is land (not air).,
Tetra,,,"This animal has scales.Its body can be black, white, red, blue and silver.",This animal's natural habitat is clearwater streams of south america.,
Texas Blind Snake,,,"This animal has scales.Its body can be silver, pink and brown.",,
Texas Brown Tarantula 2,They can be characterized as solitary. Their temperament can be characterized as docile and easy going.Their aggression level is low.,,"This animal has bristled hairs.Its body can be dark, black and brown.",This animal's natural habitat is arid desert and grasslands.,It has a nocturnal lifestyle.
Texas Coral Snake,,,"This animal has scales.Its body can be black, yellow and red.",,
Texas Garter Snake,,,"This animal has scales.Its body can be black, yellow, dark, red, orange, olive and brown.","This animal's natural habitat is near streams, rivers and and ponds.",
Texas Heeler,,,"This animal has hair.Its body can be fawn, black, white and blue.",,
Texas Indigo Snake,,,"This animal has scales.Its body can be black, brown and black-brown.","This animal's natural habitat is grasslands, brush, forests in texas, from san antonio south and and into northern mexico as far south as veracruz..",It has a diurnal and terrestrial lifestyle.
Texas Night Snake,,,"This animal has scales.Its body can be dark, light, brown, tan and grey.",,
Texas Rat Snake,,,"This animal has scales.Its body can be yellow, green, brown and grey.","This animal's natural habitat is forests, grasslands, swamps, and suburban and urban areas..",It has a nocturnal lifestyle.
Texas Spiny Lizard,,56.3269,"This animal has scales.Its body can be black, white, brown and grey.","This animal's natural habitat is forests, scrublands and backyards.",
Thai Ridgeback,,,"This animal has hair.Its body can be brindle, black, fawn, red and blue.",,
Thalassomedon,,,,This animal's natural habitat is the warm tropical waters of the western inland sea.,
Thanatosdrakon,,,,This animal's natural habitat is thanatosdrakon lived on a floodplain with temporal rivers..,
Therizinosaurus,They usually live in family units.Their aggression level is low.,,,This animal's natural habitat is riparian areas and forests.,
Theropod,,,,,
Thornback Ray,They can be characterized as social.Their aggression level is low.,,"This animal has spikes.Its body can be white, brown and grey.",,It has a nocturnal lifestyle.
Thorny Devil,,59.54558,"This animal has scales.Its body can be red, brown and grey.",This animal's natural habitat is dry desert and shrub land.,It has a solitary lifestyle.
Thresher Shark,They can be characterized as solitary.Their aggression level is low.,,This animal has scales.Its body can be white and grey.,,
Thrush,,57.93624,"This animal has feathers.Its body can be yellow, red, blue, brown and grey.","This animal's natural habitat is woodlands, forests, backyards and parks.",
Thylacoleo Carnifex,,,,This animal's natural habitat is dry and open forest areas.,
Thylacoleo,,,,,
Thylacosmilus,,,,This animal's natural habitat is savanna and sparsely forested areas.,
Tibetan Fox,,70.81096,This animal has fur.Its body can be tan and grey.,This animal's natural habitat is tibetan plateau.,
Tibetan Mastiff,,,"This animal has hair.Its body can be black, red, brown, tan and grey.",,
Tibetan Spaniel,,,"This animal has hair.Its body can be gold, black, white, red, cream and tan.",,
Tibetan Terrier,,,"This animal has hair.Its body can be brindle, gold, black, white and grey.",,
Tick,,,This animal has skin.Its body can be black and brown.,This animal's natural habitat is woods around the world.,
Tiffany,,,"This animal has hair.Its body can be fawn, white, lilac, cream, blue and brown.",,
Tiger Beetle,,5.63269,"This animal has an exoskeleton.Its body can be black, green, white, red, orange and blue.",This animal's natural habitat is ground.,
Tiger Moth,,,"This animal has hair.Its body can be black, green, white, red and orange.",This animal's natural habitat is grasslands and forests.,
Tiger Muskie Mukellunge,,48.2802,This animal has scales.Its body can be yellow and brown.,This animal's natural habitat is freshwater.,
Tiger Rattlesnake,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be yellow, fawn, orange, lilac, brown and tan.",,It has a crepuscular and nocturnal lifestyle.
Tiger Salamander,,16.0934,"This animal's skin is permeable.Its body can be black, yellow, green, brown and grey.","This animal's natural habitat is wetlands, rivers and streams.",It has a solitary lifestyle.
Tiger Shark,,32.1868,"This animal's skin is smooth.Its body can be black, white, brown and grey.",This animal's natural habitat is tropical coastal waters.,It has a solitary lifestyle.
Tiger Snake,They can be characterized as solitary.Their aggression level is low.,,"This animal has scales.Its body can be black, yellow, orange, olive and brown.","This animal's natural habitat is creeks, rivers and swamps.",It has a solitary lifestyle.
Tiger Swallowtail Caterpillar,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, green, white and brown.","This animal's natural habitat is tigerger swallowtail caterpillars live in woodlands, along streams, rivers, in swamps, wetlands, and suburban, urban areas. they are native to eastern north america, from southern canada to northern mexico and and west to the great plains..",It has a nocturnal lifestyle.
Tiger Swallowtail,They can be characterized as solitary except during mating season. Their temperament can be characterized as docile.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, yellow, white, blue and brown.","This animal's natural habitat is eastern tiger swallowtail butterflies are found in a range of wooded, forested areas, gardens, parks and and wetlands..",It has a diurnal lifestyle.
Tiger Trout,They can be characterized as solitary.Their aggression level is high.,,"This animal has scales.Its body can be orange, yellow and grey-brown.",,
Tiger,,96.5604,"This animal has fur.Its body can be orange, black and white.",This animal's natural habitat is dense tropical forest.,It has a solitary lifestyle.
Tiktaalik,,,,This animal's natural habitat is mudflats and shallow waters.,
Timber Rattlesnake,,,,,
Timor Python,They can be characterized as solitary except during mating season.Their aggression level is medium.,,"This animal has scales.Its body can be yellow, brown and light-brown.",,It has a crepuscular and nocturnal lifestyle.
Tire Track Eel,,,"This animal has skin.Its body can be tan, brown and grey.","This animal's natural habitat is rivers, marshes and inland areas.",It has a solitary lifestyle.
Titan Beetle,They can be characterized as solitary.Their aggression level is low.,,This animal has a shell.Its body can be brown.,This animal's natural habitat is tropical rainforest.,It has a nocturnal lifestyle.
Titanoboa,,,,,
Titanosaur,,,,This animal's natural habitat is woodlands and forests.,It has a diurnal lifestyle.
Toadfish,,,This animal's skin is smooth.Its body can be brown.,This animal's natural habitat is worldwide.,
Tomato Hornworm,They usually live in infestations.Their aggression level is low.,,,,
Torkie,,16.0934,This animal has hair.Its body can be multi-colored.,,
Tornjak,They can be characterized as social.Their aggression level is low.,,This animal has fur.Its body can be black and white.,,It has a diurnal lifestyle.
Tortoise,,0.48280199999999995,"This animal has scales.Its body can be black, yellow, green, brown and grey.",This animal's natural habitat is sandy soil close to water.,It has a solitary lifestyle.
Tosa,,,"This animal has fur.Its body can be brindle, black, yellow, fawn and brown.",,
Toucan,,64.3736,"This animal has feathers.Its body can be orange, black, yellow and white.",This animal's natural habitat is lowland rainforests and tropical forest borders.,It has a solitary lifestyle.
Towhee,They can be characterized as solitary. Their temperament can be characterized as territorial.Their aggression level is medium.,,"This animal has feathers.Its body can be red, white, brown and grey.","This animal's natural habitat is woodlands, forests and and urban cities.",It has a diurnal lifestyle.
